id,word,jyutping,meaning,frequency,frequency_rank,note,source_row,sentence_1,sentence_1_meaning,sentence_1_jyutping,sentence_2,sentence_2_meaning,sentence_2_jyutping,sentence_3,sentence_3_meaning,sentence_3_jyutping,exclusion_reason
yue-v-00075,做 -del-,zou6,to have sex ( 做 this word alone doesnt mean ''to shag'' ? have to  pair with 愛 in order to have ''shag' this meaning ?  ),2615,75,,78,,,,,,,,,,source deletion/editing artifact
yue-v-00076,做-del-,zou6,to fight,2615,76,,79,,,,,,,,,,source deletion/editing artifact
yue-v-00094,果 -del-,,occasionally used in place of 過,2318,94,,97,,,,,,,,,,source deletion/editing artifact
yue-v-00096,嘞 -del-,laa3,,2303,96,,99,,,,,,,,,,missing meaning/definition
yue-v-00097,嘞 -del-,laa1,,2303,97,,100,,,,,,,,,,missing meaning/definition
yue-v-00100,但 -del-,,yet,2260,100,,103,,,,,,,,,,source deletion/editing artifact
yue-v-00106,搵-del-,,use,2051,106,,109,,,,,,,,,,source deletion/editing artifact
yue-v-00112,即-del?-,zik1,namely; that is; i.e.;,1912,112,,115,,,,,,,,,,source deletion/editing artifact
yue-v-00114,即-del-,,to approach; to come into contact; to assume (office); to draw near,1912,114,,117,,,,,,,,,,source deletion/editing artifact
yue-v-00123,in -del-,,"in:in1,(pos:動詞),FALSE,TRUE",1806,123,,128,,,,,,,,,,source deletion/editing artifact
yue-v-00128,住-del-,zyu6,to stop,1762,128,,134,,,,,,,,,,source deletion/editing artifact
yue-v-00138,事-del-,si6,work;,1636,138,,145,,,,,,,,,,source deletion/editing artifact
yue-v-00140,點-del-,,To instruct; to advise ( should pair with '指' in order to get the meaning ),1635,140,,149,,,,,,,,,,source deletion/editing artifact
yue-v-00147,走-del-,zau2,to move (of vehicle);,1485,147,,156,,,,,,,,,,source deletion/editing artifact
yue-v-00148,走-del-,zay2,to visit;,1485,148,,157,,,,,,,,,,source deletion/editing artifact
yue-v-00152,走-del-,zau2,"to change (shape, form, meaning)",1485,152,,161,,,,,,,,,,source deletion/editing artifact
yue-v-00156,唔會-del-,m4 wui5,not willing,1478,156,,167,,,,,,,,,,source deletion/editing artifact
yue-v-00272,妳,,,1028,272,,283,,,,,,,,,,missing meaning/definition
yue-v-00352,薛,,,617,352,,363,,,,,,,,,,missing meaning/definition
yue-v-00363,唔想,,,584,363,,374,,,,,,,,,,missing meaning/definition
yue-v-00417,Y,,,475,417,,428,,,,,,,,,,missing meaning/definition
yue-v-00444,for,,,431,444,,455,,,,,,,,,,missing meaning/definition
yue-v-00452,個月,,,423,452,,463,,,,,,,,,,missing meaning/definition
yue-v-00483,添,,,386,483,,494,,,,,,,,,,missing meaning/definition
yue-v-00485,係呢,,,382,485,,496,,,,,,,,,,missing meaning/definition
yue-v-00487,量詞,,,378,487,,498,,,,,,,,,,missing meaning/definition
yue-v-00514,訓,,,354,514,,525,,,,,,,,,,missing meaning/definition
yue-v-00529,ke,,,338,529,,540,,,,,,,,,,missing meaning/definition
yue-v-00543,哂,,,331,543,,554,,,,,,,,,,missing meaning/definition
yue-v-00619,喀,,,280,619,,630,,,,,,,,,,missing meaning/definition
yue-v-00657,個鐘,,,259,657,,668,,,,,,,,,,missing meaning/definition
yue-v-00658,ok,,,259,658,,669,,,,,,,,,,missing meaning/definition
yue-v-00693,枱,,,243,693,,704,,,,,,,,,,missing meaning/definition
yue-v-00777,唔肯,,,208,777,,788,,,,,,,,,,missing meaning/definition
yue-v-00853,好啦,,,183,853,,864,,,,,,,,,,missing meaning/definition
yue-v-00898,去咗,,,172,898,,909,,,,,,,,,,missing meaning/definition
yue-v-00902,實係,,,171,902,,913,,,,,,,,,,missing meaning/definition
yue-v-00933,個星期,,,164,933,,944,,,,,,,,,,missing meaning/definition
yue-v-00934,嗯,,,164,934,,945,,,,,,,,,,missing meaning/definition
yue-v-00952,喔,,,160,952,,963,,,,,,,,,,missing meaning/definition
yue-v-00967,丫,,,157,967,,978,,,,,,,,,,missing meaning/definition
yue-v-00970,几,,,156,970,,981,,,,,,,,,,missing meaning/definition
yue-v-00989,out,,,150,989,,1000,,,,,,,,,,missing meaning/definition
yue-v-01118,大個,,,130,1118,,1129,,,,,,,,,,missing meaning/definition
yue-v-01130,pi,,,128,1130,,1141,,,,,,,,,,missing meaning/definition
yue-v-01131,唉,,,128,1131,,1142,,,,,,,,,,missing meaning/definition
yue-v-01154,无,,,125,1154,,1165,,,,,,,,,,missing meaning/definition
yue-v-01155,跙,,,125,1155,,1166,,,,,,,,,,missing meaning/definition
yue-v-01176,man,,,123,1176,,1187,,,,,,,,,,missing meaning/definition
yue-v-01226,就真,,,118,1226,,1237,,,,,,,,,,missing meaning/definition
yue-v-01253,der,,,115,1253,,1264,,,,,,,,,,missing meaning/definition
yue-v-01352,game,,,104,1352,,1363,,,,,,,,,,missing meaning/definition
yue-v-01399,Hi,,,100,1399,,1410,,,,,,,,,,missing meaning/definition
yue-v-01445,hea,,,96,1445,,1456,,,,,,,,,,missing meaning/definition
yue-v-01471,book,,,94,1471,,1482,,,,,,,,,,missing meaning/definition
yue-v-01553,係都,,,87,1553,,1564,,,,,,,,,,missing meaning/definition
yue-v-01554,只會,,,87,1554,,1565,,,,,,,,,,missing meaning/definition
yue-v-01595,講下,,,84,1595,,1606,,,,,,,,,,missing meaning/definition
yue-v-01684,麻,,,78,1684,,1695,,,,,,,,,,missing meaning/definition
yue-v-01751,這,,,74,1751,,1762,,,,,,,,,,missing meaning/definition
yue-v-01805,part,,,71,1805,,1816,,,,,,,,,,missing meaning/definition
yue-v-01823,唓,,,70,1823,,1834,,,,,,,,,,missing meaning/definition
yue-v-01844,cc,,,69,1844,,1855,,,,,,,,,,missing meaning/definition
yue-v-01845,广,,,69,1845,,1856,,,,,,,,,,missing meaning/definition
yue-v-01869,king,,,68,1869,,1880,,,,,,,,,,missing meaning/definition
yue-v-01896,咯,,,67,1896,,1907,,,,,,,,,,missing meaning/definition
yue-v-01983,send,,,63,1983,,1994,,,,,,,,,,missing meaning/definition
yue-v-01984,瑩,,,63,1984,,1995,,,,,,,,,,missing meaning/definition
yue-v-02042,del,,,61,2042,,2053,,,,,,,,,,missing meaning/definition
yue-v-02043,嗰時,,,61,2043,,2054,,,,,,,,,,missing meaning/definition
yue-v-02072,port,,,60,2072,,2083,,,,,,,,,,missing meaning/definition
yue-v-02073,死都,,,60,2073,,2084,,,,,,,,,,missing meaning/definition
yue-v-02074,爲,,,60,2074,,2085,,,,,,,,,,missing meaning/definition
yue-v-02108,sit,,,59,2108,,2119,,,,,,,,,,missing meaning/definition
yue-v-02109,tea,,,59,2109,,2120,,,,,,,,,,missing meaning/definition
yue-v-02194,大小姐,,,56,2194,,2205,,,,,,,,,,missing meaning/definition
yue-v-02223,pan,,,55,2223,,2234,,,,,,,,,,missing meaning/definition
yue-v-02224,譬如話,,,55,2224,,2235,,,,,,,,,,missing meaning/definition
yue-v-02251,friend,,,54,2251,,2262,,,,,,,,,,missing meaning/definition
yue-v-02361,識到,,,51,2361,,2372,,,,,,,,,,missing meaning/definition
yue-v-02431,妮,,,49,2431,,2442,,,,,,,,,,missing meaning/definition
yue-v-02475,set,,,48,2475,,2486,,,,,,,,,,missing meaning/definition
yue-v-02476,咖,,,48,2476,,2487,,,,,,,,,,missing meaning/definition
yue-v-02477,萍,,,48,2477,,2488,,,,,,,,,,missing meaning/definition
yue-v-02525,打得,,,47,2525,,2536,,,,,,,,,,missing meaning/definition
yue-v-02526,剩返,,,47,2526,,2537,,,,,,,,,,missing meaning/definition
yue-v-02567,care,,,46,2567,,2578,,,,,,,,,,missing meaning/definition
yue-v-02568,聞言,,,46,2568,,2579,,,,,,,,,,missing meaning/definition
yue-v-02569,私,,,46,2569,,2580,,,,,,,,,,missing meaning/definition
yue-v-02619,入屋,,,45,2619,,2630,,,,,,,,,,missing meaning/definition
yue-v-02620,响,,,45,2620,,2631,,,,,,,,,,missing meaning/definition
yue-v-02670,總會,,,44,2670,,2681,,,,,,,,,,missing meaning/definition
yue-v-02724,大件,,,43,2724,,2735,,,,,,,,,,missing meaning/definition
yue-v-02767,見狀,,,42,2767,,2778,,,,,,,,,,missing meaning/definition
yue-v-02768,棵,,,42,2768,,2779,,,,,,,,,,missing meaning/definition
yue-v-02816,呎,,,41,2816,,2827,,,,,,,,,,missing meaning/definition
yue-v-02817,趟,,,41,2817,,2828,,,,,,,,,,missing meaning/definition
yue-v-02818,畸,,,41,2818,,2829,,,,,,,,,,missing meaning/definition
yue-v-02865,用嚟,,,40,2865,,2876,,,,,,,,,,missing meaning/definition
yue-v-02866,得過,,,40,2866,,2877,,,,,,,,,,missing meaning/definition
