id,slug,pattern,meaning,level,lesson,course_group,category,source_url,verification
jp-g-0001,だ,だ,"To be, Is",N5,1,N5 Lesson 1,general,https://bunpro.jp/grammar_points/だ,source-indexed
jp-g-0002,です,です,"To be, Is",N5,1,N5 Lesson 1,general,https://bunpro.jp/grammar_points/です,source-indexed
jp-g-0003,は,は,As for... (Highlights sentence topic),N5,1,N5 Lesson 1,general,https://bunpro.jp/grammar_points/は,source-indexed
jp-g-0004,も,も,"Also, Too, As well, Even, Either, Neither",N5,1,N5 Lesson 1,general,https://bunpro.jp/grammar_points/も,source-indexed
jp-g-0005,これ,これ,This,N5,1,N5 Lesson 1,general,https://bunpro.jp/grammar_points/これ,source-indexed
jp-g-0006,それ,それ,That,N5,1,N5 Lesson 1,general,https://bunpro.jp/grammar_points/それ,source-indexed
jp-g-0007,あれ,あれ,That (over there),N5,1,N5 Lesson 1,general,https://bunpro.jp/grammar_points/あれ,source-indexed
jp-g-0008,の,の,Indicates possession,N5,1,N5 Lesson 1,general,https://bunpro.jp/grammar_points/の,source-indexed
jp-g-0009,いい,いい →  いい,い-Adjective meaning 'good',N5,1,N5 Lesson 1,general,https://bunpro.jp/grammar_points/いい,source-indexed
jp-g-0010,い-adjectives,い-Adjectives →  い-Adjective,Adjectives ending in い,N5,1,N5 Lesson 1,general,https://bunpro.jp/grammar_points/い-adjectives,source-indexed
jp-g-0011,な-adjectives,な-Adjectives →  な-Adjective,Adjectives that are also nouns,N5,1,N5 Lesson 1,general,https://bunpro.jp/grammar_points/な-adjectives,source-indexed
jp-g-0012,か,か,Question marking particle,N5,1,N5 Lesson 1,particle,https://bunpro.jp/grammar_points/か,source-indexed
jp-g-0013,が,が,"Subject marking particle, Identification particle",N5,2,N5 Lesson 2,particle,https://bunpro.jp/grammar_points/が,source-indexed
jp-g-0014,よ,よ,Emphasis (Sentence ending particle),N5,2,N5 Lesson 2,particle,https://bunpro.jp/grammar_points/よ,source-indexed
jp-g-0015,ね,ね,"Isn't it?, Right? (Sentence ending particle)",N5,2,N5 Lesson 2,particle,https://bunpro.jp/grammar_points/ね,source-indexed
jp-g-0016,る-Verbs,る-Verb (Dictionary),る + ます (Ichidan Verbs),N5,2,N5 Lesson 2,verb-form,https://bunpro.jp/grammar_points/る-Verbs,source-indexed
jp-g-0017,う-Verbs,う-Verb (Dictionary),う + ます (Godan Verbs),N5,2,N5 Lesson 2,verb-form,https://bunpro.jp/grammar_points/う-Verbs,source-indexed
jp-g-0018,を,を,Object marking particle,N5,2,N5 Lesson 2,particle,https://bunpro.jp/grammar_points/を,source-indexed
jp-g-0019,polite-verb-endings,ます,Polite Verb Endings,N5,2,N5 Lesson 2,verb-form,https://bunpro.jp/grammar_points/polite-verb-endings,source-indexed
jp-g-0020,るverb-ない,る-Verb (Negative),Will/Does/Do (not),N5,2,N5 Lesson 2,verb-form,https://bunpro.jp/grammar_points/るverb-ない,source-indexed
jp-g-0021,うverb--ない,う-Verb (Negative),Will/Does/Do (not),N5,2,N5 Lesson 2,verb-form,https://bunpro.jp/grammar_points/うverb--ない,source-indexed
jp-g-0022,と-and,と,And,N5,2,N5 Lesson 2,general,https://bunpro.jp/grammar_points/と-and,source-indexed
jp-g-0023,ここ,ここ,"Here, This place",N5,2,N5 Lesson 2,general,https://bunpro.jp/grammar_points/ここ,source-indexed
jp-g-0024,そこ,そこ,"There, That place",N5,2,N5 Lesson 2,general,https://bunpro.jp/grammar_points/そこ,source-indexed
jp-g-0025,あそこ,あそこ,Over there,N5,2,N5 Lesson 2,general,https://bunpro.jp/grammar_points/あそこ,source-indexed
jp-g-0026,で,で,"At, In",N5,3,N5 Lesson 3,general,https://bunpro.jp/grammar_points/で,source-indexed
jp-g-0027,に,に,"In, At, To, For, On",N5,3,N5 Lesson 3,general,https://bunpro.jp/grammar_points/に,source-indexed
jp-g-0028,か-or,か,Or,N5,3,N5 Lesson 3,general,https://bunpro.jp/grammar_points/か-or,source-indexed
jp-g-0029,と-with,と,With,N5,3,N5 Lesson 3,general,https://bunpro.jp/grammar_points/と-with,source-indexed
jp-g-0030,でしょう,でしょう,"Right?, Probably, Isn't it?",N5,3,N5 Lesson 3,modality,https://bunpro.jp/grammar_points/でしょう,source-indexed
jp-g-0031,だろう,だろう,"Right?, Probably, Isn't it?",N5,3,N5 Lesson 3,modality,https://bunpro.jp/grammar_points/だろう,source-indexed
jp-g-0032,がある,がある →  がある,"To be, There is",N5,3,N5 Lesson 3,general,https://bunpro.jp/grammar_points/がある,source-indexed
jp-g-0033,がいる,がいる →  がいる,"To be, There is, To remain (in a state)",N5,3,N5 Lesson 3,general,https://bunpro.jp/grammar_points/がいる,source-indexed
jp-g-0034,この,この,This,N5,3,N5 Lesson 3,general,https://bunpro.jp/grammar_points/この,source-indexed
jp-g-0035,その,その,That,N5,3,N5 Lesson 3,general,https://bunpro.jp/grammar_points/その,source-indexed
jp-g-0036,あの,あの,That (over there),N5,3,N5 Lesson 3,general,https://bunpro.jp/grammar_points/あの,source-indexed
jp-g-0037,-んです-のです,～んです・のです →  んです・のです,"Explanatory, Emphasis, The fact is",N5,3,N5 Lesson 3,general,https://bunpro.jp/grammar_points/-んです-のです,source-indexed
jp-g-0038,past-tense-い-adjectives,い-Adjective (Past),"Was, Were (Past tense)",N5,3,N5 Lesson 3,general,https://bunpro.jp/grammar_points/past-tense-い-adjectives,source-indexed
jp-g-0039,のは,の →  のは・のが,"Verb nominalizer, The one who..., That which...",N5,4,N5 Lesson 4,verb-form,https://bunpro.jp/grammar_points/のは,source-indexed
jp-g-0040,い-adjective-noun,い-Adjective + Noun →  い-Adjective + (Noun),Describing a noun,N5,4,N5 Lesson 4,general,https://bunpro.jp/grammar_points/い-adjective-noun,source-indexed
jp-g-0041,な-adjective-noun,な-Adjective + Noun →  な-Adjective + (Noun),Describing a noun,N5,4,N5 Lesson 4,general,https://bunpro.jp/grammar_points/な-adjective-noun,source-indexed
jp-g-0042,へいく,へいく →  へいく,"To go to, To head toward",N5,4,N5 Lesson 4,general,https://bunpro.jp/grammar_points/へいく,source-indexed
jp-g-0043,する,する,"To do, To make into",N5,4,N5 Lesson 4,general,https://bunpro.jp/grammar_points/する,source-indexed
jp-g-0044,くる,くる →  くる,To come,N5,4,N5 Lesson 4,general,https://bunpro.jp/grammar_points/くる,source-indexed
jp-g-0045,る-verb-past,る-Verb (Past),る - Verbs (Past tense),N5,4,N5 Lesson 4,verb-form,https://bunpro.jp/grammar_points/る-verb-past,source-indexed
jp-g-0046,う-verb-past,う-Verb (Past),う - Verbs (Past tense),N5,4,N5 Lesson 4,verb-form,https://bunpro.jp/grammar_points/う-verb-past,source-indexed
jp-g-0047,すき,好き →  すき,"Like, Fond of",N5,4,N5 Lesson 4,general,https://bunpro.jp/grammar_points/すき,source-indexed
jp-g-0048,きらい,きらい →  きらい,"Dislike, Not fond of",N5,4,N5 Lesson 4,general,https://bunpro.jp/grammar_points/きらい,source-indexed
jp-g-0049,のがすき,のがすき →  のがすき,"Like doing, Love doing",N5,4,N5 Lesson 4,general,https://bunpro.jp/grammar_points/のがすき,source-indexed
jp-g-0050,がある-noun,がある + Noun →  がある + (Noun),"Noun (B) that has Noun (A), Noun (B) with Noun (A)",N5,4,N5 Lesson 4,general,https://bunpro.jp/grammar_points/がある-noun,source-indexed
jp-g-0051,negative-い-adjectives,い-Adjectives くない →  くない,Not (Adjective),N5,4,N5 Lesson 4,general,https://bunpro.jp/grammar_points/negative-い-adjectives,source-indexed
jp-g-0052,で-by,で,"With, By (using)",N5,5,N5 Lesson 5,general,https://bunpro.jp/grammar_points/で-by,source-indexed
jp-g-0053,ので,ので,"Because, So, Since, The reason being",N5,5,N5 Lesson 5,general,https://bunpro.jp/grammar_points/ので,source-indexed
