id,expression,reading,meaning,level,topics,tags,source_name,source_row
jp-v-00001,現像,げんぞう,developing (film),N1,,JLPT_1 JLPT,,1
jp-v-00002,原則,げんそく,"principle, general rule",N1,,JLPT_1 JLPT,,2
jp-v-00003,見地,けんち,point of view,N1,,JLPT_1 JLPT,,3
jp-v-00004,現地,げんち,"actual place, local",N1,,JLPT_1 JLPT,,4
jp-v-00005,限定,げんてい,"limit, restriction",N1,,JLPT_1 JLPT,,5
jp-v-00006,原点,げんてん,"origin (coordinates, starting point)",N1,,JLPT_1 JLPT,,6
jp-v-00007,原典,げんてん,"original, source",N1,,JLPT_1 JLPT,,7
jp-v-00008,原爆,げんばく,atomic bomb,N1,,JLPT_1 JLPT,,8
jp-v-00009,原文,げんぶん,"the text, original",N1,,JLPT_1 JLPT,,9
jp-v-00010,厳密,げんみつ,"strict, close",N1,,JLPT_1 JLPT,,10
jp-v-00011,賢明,けんめい,"wisdom, intelligence, prudence",N1,,JLPT_1 JLPT,,11
jp-v-00012,倹約,けんやく,"thrift, economy, frugality",N1,,JLPT_1 JLPT,,12
jp-v-00013,原油,げんゆ,crude oil,N1,Food & ingredients,JLPT_1 JLPT,,13
jp-v-00014,兼用,けんよう,"multi-use, combined use",N1,,JLPT_1 JLPT,,14
jp-v-00015,権力,けんりょく,"(political) power, authority, influence",N1,,JLPT_1 JLPT,,15
jp-v-00016,言論,げんろん,"discussion, speech",N1,,JLPT_1 JLPT,,16
jp-v-00017,故～,こ～,"deceased, late",N1,,JLPT_1 JLPT,,17
jp-v-00018,語彙,ごい,"vocabulary, glossary",N1,,JLPT_1 JLPT,,18
jp-v-00019,恋する,こいする,"to fall in love with, to love",N1,,JLPT_1 JLPT,,19
jp-v-00020,甲,こう,1st in rank; shell,N1,,JLPT_1 JLPT,,20
jp-v-00021,～光,～こう,light,N1,,JLPT_1 JLPT,,21
jp-v-00022,好意,こうい,"good will, favor, courtesy",N1,,JLPT_1 JLPT,,22
jp-v-00023,行為,こうい,"act, deed, conduct",N1,,JLPT_1 JLPT,,23
jp-v-00024,合意,ごうい,"agreement, consent, mutual understanding",N1,,JLPT_1 JLPT,,24
jp-v-00025,工学,こうがく,engineering,N1,,JLPT_1 JLPT,,25
jp-v-00026,抗議,こうぎ,"protest, objection",N1,,JLPT_1 JLPT,,26
jp-v-00027,合議,ごうぎ,"consultation, conference",N1,,JLPT_1 JLPT,,27
jp-v-00028,皇居,こうきょ,Imperial Palace,N1,,JLPT_1 JLPT,,28
